0,1
Comments,rusty toreddish brown; with matrix supported fragments of weatheredBIF in a goethitic matrix; fairly competent but cracking due to drying out
Comments,rusty wthrdsulfided 76-80m
Lith_Desc,rutilated?ac?qzite
Lith_Desc,rutilated MnO? qz vng
Lith_Desc,rutilated qz vein w/ sulphide?
LithDescription,Rvq
Primary Description,Rvq   
LithDescription,RvqGdn
Desc21,rx
Desc13,RX
description, R = X?            
Comments,R = X?
Lith_Desc,rx are schistose
Lith_Desc,rx becoming schistose
Description,"""Rythmic mm-scale bands of AM, shale, CH and sulphides"""
Desc21,s
Comments,S0?
Comments,s0.1ongly magnetic and moderate to intensely folded EOH=360.50m
Comments,s0.1ongly magnetic mainly mnt and Ssq bands; occasional s0.1aw yellow bands containing fine acicular xtals of ?actinolite
Comments,s0.1ong magnetic zone mnt and quartzite bands occasional s0.1aw yellow bands containing fine acicular xtals of ?actinolite; rare stubby xtals ?aegerine augite
Desc21,sa
Comments,SA
COMMENTS,"""SA,"""
Comment,SAA
Comment,SAA BUT WITH LARGE SI SPOTS
Comment,"""SAA, coarse SP, 300mm SDBX at contact as 610.3-612.4m"""
COMMENTS,Saccharoidal textured QV
PRIM_DESCP,Saff
PRIM_DESCP,SAFF
Comments,salinity water test a 169m t978uS/15.5/PH 5.74
Comments,salinity water test at EOH 990uS/15.3C/PH 5.87
Lith_Desc,Salty water cane in ct about 43+m
Comments,SA Lump with pisoids.Yellow Go coating.
Comment_2,samd-rich minor hardpan
Comments,samdy hardpan minor calcrete
Comments,same again
Comments,Same appearance as 88.2-94.15 but non-magnetic
Comments,same as 120
Comments,same as 120 + 121
Comments,same as 125
Comment,SAME AS 130.3-150m BUT LESS QTZ & OCC SMALL SLST CLASTS
Comment,same as 190-213
Description,"""Same as 194.56-197.69m, contains intervals of 0.5-1cm bands, localised folding and CH boudinage"""
Comment,same as 28-73.4m
Description,Same as ~51.2-56.3m
Comment,SAME AS 562.6-579m
Comment,SAME AS 581.6-584.4m
Description,"""Same as 60.30-60.62m, incr.mag., g/s and meta. fabric"""
Description,Same as 60.68-61.85m but bands of MT are thicker (up to 5cm thick)
Description,"""Same as 70.20-70.68m, MT grain size increasing """
Comment,same as 75.1-105.1m
Comment,SAME AS 941.4m
Comment,SAME AS 981.1m
Comment,SAME AS ABOVE
Comment,SAME AS ABOVE BUT 3cm QV RUNNING PLL TO LCA
Comment,SAME AS ABOVE BUT FOLIATED
Comment,same as above but gradual contact to more silicous alt'n *PET*
Comment,SAME AS ABOVE BUT INCREASED ALTERATION ASSOC WITH FLTZ??
Comment,"""SAME AS ABOVE BUT LESS ALTERED REGULAR FELDSPARS, BECOMES VERY SILICEOUS TOWARDS CONTACT AND APPEARS PRIMARY RATHER THAN ALTERATION"""
Comments,same as above but less Mt. Transition to base of ore body.
Comment,"""SAME AS ABOVE BUT VERY BROKEN WITH CORE LOSS FROM 586.4-586.7m, 586.9-587.1m, 587.3-587.6m"""
Comments,same as above only now mottled grey / brown with patchy limonite staining in core interiors; cemented; polymictic and matrix supported;
Comments,same as above; siltst/shale with qtz vein breccia zone; no obvious sedimentary fabric; prominent qtz vein brecciation EOH=300.0m
Comments,"""Same as above, some deformation has occurred, micro-folds common, also patches of broken ground"""
Comment,"""Same as Above unit, but less sulphides."""
Comments,same as above with increasing black ironstone and red ferricrete fragments
Comments,same as above with white clay and quartzite gravels
Comment,SAME AS AT 1080m
Comment,SAME AS AT 603.8-611.3m BUT SDBX LAYER AT BASE ON INTERVAL
Comment,SAME AS BLT FROM 871.2m EOH @ 886.7m
Comment,SAME AS BLT FROM 871.2m WITH HYALOCLASTITE BRECCIA
Comment,SAME AS BOFRE FELSIC INTRUSIVE BECOMING MORE COURSE TOWARDS BASE OF INTERVAL
Comment,SAME AS DAC FROM 268.2m
Comment,"""Same as dolerite above, with stronger veining"""
Comment,SAME AS FROM 331.3 BUT CHANGE IN ALTERATION
