Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,
141,993858,2,3.0,Nnd,Sand,bioclastic,101,
141,993861,16,17.0,Nnd,Sand,bioclastic,101,
141,993857,19,20.0,Nnd,Sand,bioclastic,101,
141,993857,19,20.0,Nnd,Sand,bioclastic,101,
141,1399612,48,49.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,48,49.0,Ncl,Clay loams and Clay,mud,101,
141,993857,141,142.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,141,142.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399612,126,127.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399612,126,127.0,Shcc,Carbonaceous shale,mudstone,101,
141,993861,16,17.0,Nnd,Sand,bioclastic,101,
141,993861,31,32.0,Nnd,Sand,bioclastic,101,
141,993861,31,32.0,Nnd,Sand,bioclastic,101,
141,1399615,191,192.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,20,21.0,Nnd,Sand,bioclastic,101,
141,993857,20,21.0,Nnd,Sand,bioclastic,101,
141,993860,150,151.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,150,151.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399615,191,192.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399612,92,93.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,27,28.0,Nnd,Sand,bioclastic,101,
141,1399612,27,28.0,Nnd,Sand,bioclastic,101,
141,1399613,145,146.0,Sd,Dolomite,dolostone,100,
141,1399613,145,146.0,Sd,Dolomite,dolostone,100,
141,1399613,141,142.0,Sd,Dolomite,dolostone,100,
141,1399613,141,142.0,Sd,Dolomite,dolostone,100,
141,1399612,92,93.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,73,74.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,33,34.0,Nnd,Sand,bioclastic,101,
141,1399612,33,34.0,Nnd,Sand,bioclastic,101,
141,1399612,73,74.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,80,81.0,Ncl,Clay loams and Clay,mud,101,
141,1399612,80,81.0,Ncl,Clay loams and Clay,mud,101,
141,993859,11,12.0,Nnd,Sand,bioclastic,101,
141,993859,11,12.0,Nnd,Sand,bioclastic,101,
141,993861,56,57.0,Ncl,Clay loams and Clay,mud,101,
141,993861,56,57.0,Ncl,Clay loams and Clay,mud,101,
141,993859,47,48.0,Ng,Gravel,gravel,101,
141,993859,47,48.0,Ng,Gravel,gravel,101,
141,1399613,48,49.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,48,49.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,135,136.0,Sd,Dolomite,dolostone,100,
141,1399613,135,136.0,Sd,Dolomite,dolostone,100,
141,993860,102,103.0,Ncl,Clay loams and Clay,mud,101,
141,993858,121,122.0,Sd,Dolomite,dolostone,100,
141,993858,121,122.0,Sd,Dolomite,dolostone,100,
141,1399612,32,33.0,Nnd,Sand,bioclastic,101,
141,1399612,32,33.0,Nnd,Sand,bioclastic,101,
141,1399613,18,19.0,Nnd,Sand,bioclastic,101,
141,1399613,18,19.0,Nnd,Sand,bioclastic,101,
141,1399615,141,142.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399615,141,142.0,Shcc,Carbonaceous shale,mudstone,101,
141,993860,102,103.0,Ncl,Clay loams and Clay,mud,101,
141,1399616,14,15.0,Nnd,Sand,bioclastic,101,
141,1399616,14,15.0,Nnd,Sand,bioclastic,101,
141,1399613,45,46.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,45,46.0,Ncl,Clay loams and Clay,mud,101,
141,1399614,46,47.0,Ng,Gravel,gravel,101,
141,1399614,46,47.0,Ng,Gravel,gravel,101,
141,1399614,6,7.0,Nnd,Sand,bioclastic,101,
141,1399616,17,18.0,Nnd,Sand,bioclastic,101,
141,1399616,17,18.0,Nnd,Sand,bioclastic,101,
141,1399614,6,7.0,Nnd,Sand,bioclastic,101,
141,993859,156,157.0,Sd,Dolomite,dolostone,100,
141,993860,10,11.0,Nnd,Sand,bioclastic,101,
141,993860,10,11.0,Nnd,Sand,bioclastic,101,
141,993860,44,45.0,Ncl,Clay loams and Clay,mud,101,
141,993860,44,45.0,Ncl,Clay loams and Clay,mud,101,
141,993857,146,147.0,Shcc,Carbonaceous shale,mudstone,101,
141,993857,146,147.0,Shcc,Carbonaceous shale,mudstone,101,
141,993859,156,157.0,Sd,Dolomite,dolostone,100,
141,993857,167,168.0,Ssl,Siltstone/Argillite,mudstone,101,
141,993857,66,67.0,Ncl,Clay loams and Clay,mud,101,
141,993857,66,67.0,Ncl,Clay loams and Clay,mud,101,
141,993859,112,113.0,Ncl,Clay loams and Clay,mud,101,
141,993859,112,113.0,Ncl,Clay loams and Clay,mud,101,
141,993858,15,16.0,Nnd,Sand,bioclastic,101,
141,993858,15,16.0,Nnd,Sand,bioclastic,101,
141,1399613,13,14.0,Nnd,Sand,bioclastic,101,
141,1399613,13,14.0,Nnd,Sand,bioclastic,101,
141,1399616,29,30.0,Nnd,Sand,bioclastic,101,
141,1399616,29,30.0,Nnd,Sand,bioclastic,101,
141,993857,167,168.0,Ssl,Siltstone/Argillite,mudstone,101,
141,993858,55,56.0,Ncl,Clay loams and Clay,mud,101,
141,993858,55,56.0,Ncl,Clay loams and Clay,mud,101,
141,993860,103,104.0,Ncl,Clay loams and Clay,mud,101,
141,993860,103,104.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,96,97.0,Ng,Gravel,gravel,101,
141,1399613,96,97.0,Ng,Gravel,gravel,101,
141,993857,120,121.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399612,128,129.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399612,128,129.0,Shcc,Carbonaceous shale,mudstone,101,
141,1399614,152,153.0,Sd,Dolomite,dolostone,100,
141,1399614,152,153.0,Sd,Dolomite,dolostone,100,
141,1399613,136,137.0,Sd,Dolomite,dolostone,100,
141,1399613,136,137.0,Sd,Dolomite,dolostone,100,
141,1399614,153,154.0,Sd,Dolomite,dolostone,100,
141,1399614,153,154.0,Sd,Dolomite,dolostone,100,
141,1399613,32,33.0,Ncl,Clay loams and Clay,mud,101,
141,1399613,32,33.0,Ncl,Clay loams and Clay,mud,101,
141,993861,55,56.0,Ncl,Clay loams and Clay,mud,101,
141,993861,55,56.0,Ncl,Clay loams and Clay,mud,101,
141,993857,120,121.0,Shcc,Carbonaceous shale,mudstone,101,
141,993858,129,130.0,Sd,Dolomite,dolostone,100,
141,993858,129,130.0,Sd,Dolomite,dolostone,100,
141,993859,153,154.0,Sd,Dolomite,dolostone,100,
141,993859,153,154.0,Sd,Dolomite,dolostone,100,
141,1399612,2,3.0,Nnd,Sand,bioclastic,101,
141,993861,1,2.0,Nnd,Sand,bioclastic,101,
141,993861,1,2.0,Nnd,Sand,bioclastic,101,
