Company_ID,CollarID,Fromdepth,Todepth,Comapny_Lithocode,Company_Lithology,CET_Lithology,Score,Level_3,Level_2,Level_1
141,993860,36.0,37.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,37.0,38.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,38.0,39.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,39.0,40.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,40.0,41.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,41.0,42.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,42.0,43.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,43.0,44.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,44.0,45.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,45.0,46.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,46.0,47.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,47.0,48.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,48.0,49.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,49.0,50.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,50.0,51.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,51.0,52.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,52.0,53.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,53.0,54.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,54.0,55.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,55.0,56.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,56.0,57.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,57.0,58.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,58.0,59.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,59.0,60.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,60.0,61.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,61.0,62.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,62.0,63.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,63.0,64.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,64.0,65.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,65.0,66.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,66.0,67.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,67.0,68.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,68.0,69.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,69.0,70.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,70.0,71.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,71.0,72.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,72.0,73.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,73.0,74.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,74.0,75.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,75.0,76.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,76.0,77.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,77.0,78.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,78.0,79.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,79.0,80.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,80.0,81.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,81.0,82.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,82.0,83.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,83.0,84.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,84.0,85.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
141,993860,85.0,86.0,Ncl,Clay loams and Clay,mud,101,mud,sediment_clastic,sediment
