CollarID,Depth,Azimuth,Dip
792951,170.0,144.0,-90.0
792951,180.0,143.8,-90.0
792951,190.0,144.3,-90.0
792951,194.0,144.5,-90.0
792952,0.0,254.42,-89.58
792952,20.0,249.62,-90.0
792952,40.0,241.98,-90.0
792952,60.0,243.06,-90.0
792952,80.0,268.31,-90.0
792952,100.0,281.71,-90.0
792952,120.0,297.26,-90.0
792957,0.0,270.0,-90.0
827751,0.0,32.0,-60.0
827751,10.0,33.0,-90.0
827751,20.0,33.0,-90.0
827751,30.0,32.0,-90.0
827751,40.0,33.0,-90.0
827751,50.0,34.0,-90.0
827751,54.0,32.0,-90.0
827751,60.0,34.0,-90.0
827751,70.0,34.0,-90.0
827751,80.0,35.0,-90.0
827751,90.0,36.0,-90.0
827751,100.0,37.0,-90.0
827751,114.0,37.0,-90.0
831902,12.0,236.4,-77.0
831902,30.0,229.3,-77.3
831902,48.0,232.1,-77.4
831902,66.0,233.2,-77.8
831902,84.0,235.3,-78.0
831902,102.0,241.9,-78.6
831903,11.0,240.3,-85.6
831903,29.0,234.8,-85.9
831903,47.0,232.6,-85.7
831903,65.0,235.6,-85.6
831903,83.0,227.0,-85.8
872745,0.0,0.0,-60.0
872751,0.0,0.0,-60.0
872814,0.0,120.0,-60.0
872815,0.0,120.0,-60.0
872817,0.0,120.0,-60.0
872818,0.0,120.0,-60.0
872842,0.0,90.0,-60.0
872843,0.0,90.0,-60.0
931212,0.0,89.2,-60.58
931212,10.0,90.9,-90.0
931212,20.0,92.1,-90.0
931212,30.0,93.5,-90.0
931212,40.0,94.3,-90.0
931212,50.0,94.6,-90.0
931212,60.0,94.8,-90.0
931212,70.0,94.7,-90.0
931212,80.0,95.2,-90.0
931212,90.0,95.2,-90.0
931212,100.0,95.1,-90.0
931212,110.0,95.4,-90.0
931212,120.0,95.4,-90.0
931212,140.0,95.7,-90.0
931212,160.0,97.0,-90.0
931212,180.0,96.7,-90.0
931212,200.0,98.2,-90.0
931212,220.0,98.6,-90.0
931212,231.0,98.4,-90.0
931213,0.0,91.0,-60.17
931213,10.0,91.6,-90.0
931213,19.0,92.7,-90.0
931214,0.0,90.3,-59.93
931214,10.0,91.8,-90.0
931214,20.0,93.0,-90.0
931214,30.0,93.7,-90.0
931214,39.0,94.2,-90.0
931215,0.0,89.4,-60.07
931215,10.0,89.3,-90.0
931215,20.0,89.5,-90.0
931215,30.0,90.6,-90.0
931215,40.0,90.2,-90.0
931215,47.0,90.3,-90.0
931216,0.0,89.4,-60.62
931216,10.0,88.9,-90.0
931216,20.0,90.0,-90.0
931216,30.0,90.1,-90.0
931216,40.0,91.2,-90.0
931216,50.0,90.6,-90.0
931216,60.0,91.1,-90.0
931216,70.0,91.6,-90.0
931216,80.0,91.7,-90.0
931216,90.0,91.0,-90.0
931216,100.0,89.5,-90.0
931216,110.0,87.9,-90.0
931216,120.0,87.2,-90.0
931216,130.0,86.2,-90.0
931216,140.0,88.1,-90.0
931216,150.0,84.9,-90.0
931217,0.0,92.5,-60.34
931217,10.0,92.8,-90.0
931218,0.0,93.5,-59.69
931218,10.0,94.1,-90.0
931218,20.0,94.8,-90.0
931218,30.0,95.2,-90.0
931218,40.0,94.1,-90.0
931218,50.0,98.6,-90.0
931218,60.0,91.9,-90.0
931218,65.0,91.7,-90.0
931219,0.0,90.0,-60.0
931220,0.0,87.5,-60.58
931220,20.0,88.0,-90.0
931220,40.0,87.2,-90.0
931220,60.0,86.9,-90.0
931220,80.0,86.6,-90.0
931220,100.0,86.8,-90.0
931220,120.0,86.8,-90.0
931220,140.0,86.7,-90.0
931220,160.0,87.6,-90.0
931220,180.0,88.4,-90.0
931220,200.0,89.3,-90.0
931220,220.0,90.5,-90.0
1146526,0.0,87.0,-60.0
1146526,50.0,87.0,-90.0
1146526,100.0,87.0,-90.0
1146526,174.0,87.0,-90.0
1146526,202.0,87.0,-90.0
1146526,252.0,87.0,-90.0
1146526,302.0,75.0,-90.0
1146526,372.7,82.5,-90.0
1146526,455.9,85.5,-90.0
1146526,524.9,86.0,-90.0
1146526,546.4,85.5,-90.0
1146528,0.0,87.0,-58.0
1146528,54.0,87.0,-90.0
1146528,102.0,87.0,-90.0
1146528,150.0,87.0,-90.0
1146528,192.0,87.0,-90.0
1146528,252.0,87.0,-90.0
1146528,306.0,79.5,-90.0
1146528,354.0,81.0,-90.0
1146528,405.0,81.0,-90.0
1146530,0.0,87.0,-60.0
1146530,54.0,87.0,-90.0
1146530,102.0,87.0,-90.0
1146530,150.0,87.0,-90.0
1146530,180.0,87.0,-90.0
1146530,195.0,86.0,-90.0
1146530,249.0,82.0,-90.0
1146531,0.0,87.0,-63.0
1146531,30.0,87.0,-90.0
1146531,78.0,87.0,-90.0
1146531,120.0,87.0,-90.0
1146531,248.0,87.0,-90.0
1146531,301.0,90.0,-90.0
1146531,367.0,89.0,-90.0
1146531,435.0,90.0,-90.0
1146531,468.0,90.0,-90.0
1146650,0.0,87.0,-58.0
1146650,54.0,87.0,-90.0
1146650,102.0,87.0,-90.0
1146650,150.0,87.0,-90.0
1233095,0.0,0.0,-89.12
1233095,10.0,0.0,-90.0
1233095,20.0,0.0,-90.0
1233095,30.0,0.0,-90.0
1233095,40.0,0.0,-90.0
1233095,50.0,0.0,-90.0
1233095,60.0,0.0,-90.0
1233095,70.0,0.0,-90.0
1233095,80.0,0.0,-90.0
1233095,90.0,0.0,-90.0
1233095,100.0,0.0,-90.0
1233095,105.0,0.0,-90.0
1233096,0.0,0.0,-89.97
1233096,10.0,0.0,-90.0
1233096,20.0,0.0,-90.0
1233096,30.0,0.0,-90.0
1233096,40.0,0.0,-90.0
1233096,50.0,0.0,-90.0
1233096,60.0,0.0,-90.0
1233096,70.0,0.0,-90.0
1233096,80.0,0.0,-90.0
1233096,90.0,0.0,-90.0
1233096,100.0,0.0,-90.0
1233096,105.0,0.0,-90.0
1233098,0.0,0.0,-80.46
1233098,20.0,0.0,-90.0
1233098,40.0,0.0,-90.0
1233098,60.0,0.0,-90.0
1233098,80.0,0.0,-90.0
1233098,100.0,0.0,-90.0
1233098,120.0,0.0,-90.0
1233098,140.0,0.0,-90.0
1233098,160.0,0.0,-90.0
