,Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,Score,Level 2,Level 1,CET_Litho
97,1621,1233212,387,392.82,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
98,1621,1233139,169,180,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
99,1621,1233212,59,60,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
100,1621,1233237,327,352.65,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
101,1621,1233224,498,521.04,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
102,1621,1233233,122,129.87,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
103,1621,1233218,57,70,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
104,1621,1233307,46,51,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
105,1621,1233212,215,216,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
106,1621,1233213,215,216,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
107,1621,1233212,180,187,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
108,1621,1233216,115,118,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
109,1621,1233223,83,87,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
110,1621,1233213,201,205,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
111,1621,1233107,46,49,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
112,1621,1233224,278,282.4,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
113,1621,1233216,31,92,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
114,1621,1233227,196,234.44,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
115,1621,1233237,4,11,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
116,1621,1233212,399,402.4,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
117,1621,1233210,129,140,Sif,iron-formation,69,unclassified rock,unclassified_rock,Other
