id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
1,Coarse_grained_plutonic_crystalline_igneous_rock Plutonic_rock Intrusive_rock Intrusive_Dyke Intrusive_Sill Intrusive_Dyke_Sill Intrusive Phaneritic_Igneous_Rock Coarse_Grained_Crystalline_Igneous_Rock Plutonic_Rock Intrusive_Dike Intrusive_Dike_Sill,coarse_grained_plutonic_crystalline_igneous_rock,coarse_grained_crystalline,igneous_rock,1,Igneous rock in which the framework of the rock consists of individual crystals that can be discerned with the unaided eye. Bounding grain size is on the order of 32 to 100 microns. Igneous rocks with 'exotic' composition are excluded from this concept.,Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0189,,
2,Exotic_crystalline_igneous_rock Exotic_Composition_Igneous_Rock ,exotic_crystalline_igneous_rock,exotic_crystalline,igneous_rock,1,"Rock with 'exotic' mineralogical, textural or field setting characteristics; typically dark colored, with abundant phenocrysts. Criteria include: presence of greater than 10 percent melilite or leucite, or presence of kalsilite, or greater than 50 percent carbonate minerals. Includes Carbonatite, Melilitic rock, Kalsilitic rocks, Kimberlite, Lamproite, Leucitic rock and Lamprophyres.",Gillespie and Styles 1999; LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0083,,
3,Quartz_alkali_feldspar_trachyte Quartz_Alkali_Feldspar_Trachyte ,quartz_alkali_feldspar_trachyte,intermediate_fine_grained_crystalline,igneous_rock,1,Alkali feldspar trachytic rock that contains and between 5 and 20 percent quartz  mineral in the QAPF fraction. QAPF field 6*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0210,,
4,Quartz_alkali_feldspar_syenite Quartz_Alkali_Feldspar_Syenite ,quartz_alkali_feldspar_syenite,intermediate_coarse_grained_crystalline,igneous_rock,1,Alkali feldspar syenitic rock that contains 5 to 20 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 6*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0209,,
5,Alkali_feldspar_rhyolite Alkali_Feldspar_Rhyolite Alkali_Feldspar_Liparite Peralkaline_Rhyolite ,alkali_feldspar_rhyolite,felsic_fine_grained_crystalline,igneous_rock,1,Rhyolitoid in which the ratio of plagioclase to total feldspar is less than 0.1. QAPF field 2.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0005,,
6,Alkali_feldspar_trachyte Alkali_Feldspar_Trachyte ,alkali_feldspar_trachyte,intermediate_fine_grained_crystalline,igneous_rock,1,"Trachytoid that has a plagioclase to total feldspar ratio less than 0.1, between 0 and 5 percent quartz in the QAPF fraction, and no feldspathoid minerals. QAPF field 6.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0008,,
7,Alkali_feldspar_granite Alkali_Feldspar_Granite Peralkaline_Granite Alaskite ,alkali_feldspar_granite,felsic_coarse_grained_crystalline,igneous_rock,1.01,Granitic rock that has a plagioclase to total feldspar ratio less than 0.1. QAPF field 2.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0004,,
8,Alkali_feldspar_syenite Alkali_Feldspar_Syenite ,alkali_feldspar_syenite,intermediate_coarse_grained_crystalline,igneous_rock,1,Alkali feldspar syenitic rock that contains 0-5 percent quartz and no feldspathoid in the QAPF fraction. QAPF field 6.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0006,,
9,Hybrid_Sedimentary_Rock Hybrid_Sedimentary_Rock ,hybrid_sedimentary_rock,hybrid,sedimentary_rock,1,Sedimentary rock that does not fit any of the other  composition/genesis categories. Sedimentary rock consisting of three or more components which form more than 5 percent but less than 50 precent  of the material.,"Hallsworth and Knox, 1999",http://resource.geosciml.org/classifier/cgi/lithology/0136,,
10,Gravel_Grade_Sediment Gravel_Size_Sediment ,gravel_grade_sediment,sedimentary_rock,sedimentary_rock,1,Sediment containing greater than 30 percent gravel-size particles (greater than 2.0 mm diameter). Composition or gensis of clasts not specified.,"SLTTs 2004; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)",http://resource.geosciml.org/classifier/cgi/lithology/0131,,
11,Pyroclastic_sediment Pyroclastic_Material ,pyroclastic_sediment,volcaniclastic,igneous_rock,1,Fragmental igneous material that consists of more than 75 percent of particles formed by disruption as a direct result of volcanic action.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0206,,
12,Tephritic_phonolite Tephritic_leucite_phonolite Tephri_Phonolite Tephritic_Phonolite Tephriphonolite ,tephritic_phonolite,feldspathic_fine_grained_crystalline,igneous_rock,1,Phonolitoid that has a plagioclase to total feldspar ratio between 0.1 and 0.5. Broadly corresponds to TAS tephriphonolite of TAS field U3.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0252,,
13,Phonolitic_basanite Phonolitic_Basanite ,phonolitic_basanite,feldspathic_fine_grained_crystalline,igneous_rock,1,"Tephritoid that has a plagioclase to total feldspar ratio between 0.5 and  0.9, and contains more than 10 percent normative (CIPW) olivine.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0191,,
14,Phonolitic_tephrite Phono_Tephrite Phonolitic_Tephrite ,phonolitic_tephrite,feldspathic_fine_grained_crystalline,igneous_rock,1,"Tephritoid that has a plagioclase to total feldspar ratio between 0.5 and 0.9, and contains less than 10 percent normative (CIPW) olivine.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0193,,
15,Quartz_monzodiorite Quartz_Monzodiorite ,quartz_monzodiorite,intermediate_coarse_grained_crystalline,igneous_rock,1,Monzodioritic rock that contains between 5 and 20 percent quartz.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0215,,
16,Quartz_anorthosite Quartz_Anorthosite ,quartz_anorthosite,mafic_coarse_grained_crystalline,igneous_rock,1,Anorthositic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 10*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0211,,
17,Quartz_monzogabbro Quartz_Monzogabbro ,quartz_monzogabbro,mafic_coarse_grained_crystalline,igneous_rock,1,Monzogabbroic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 9*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0216,,
18,Mud_Grade_Sediment Mud_Size_Sediment ,mud_grade_sediment,sedimentary_rock,sedimentary_rock,1,Sediment consisting of less than 30 percent gravel-size (2 mm) particles and with a mud-size to sand-size particle ratio greater than 1. Clasts may be of any composition or origin.,"based on SLTTs 2004; Neuendorf et al. 2005; particle sizes defined from Krumbein phi scale (W C Krumbein and L L Sloss, Stratigraphy and Sedimentation, 2nd edition, Freeman, San Francisco, 1963; Krumbein and Pettijohn, 1938, Manual of Sedimentary Petrography: New York, Appleton Century Co., Inc.)",http://resource.geosciml.org/classifier/cgi/lithology/0171,,
19,Quartz_monzonite Quartz_Monzonite ,quartz_monzonite,intermediate_coarse_grained_crystalline,igneous_rock,1,Monzonitic rock that contains 5-20 percent quartz iin the QAPF fraction. Includes rocks defined modally in QAPF Field 8*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0217,,
20,Residual_deposit Residual_Material ,residual_deposit,residual_deposit,surficial_rock,1,"Material of composite origin resulting from weathering processes at the Earth's surface, with genesis dominated by removal of chemical constituents by aqueous leaching. Miinor clastic, chemical, or organic input may also contribute. Consolidation state is not inherent in definition, but typically material is unconsolidated or weakly consolidated.",This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0222,,
21,Quartz_trachyte Quartz_Trachyte ,quartz_trachyte,intermediate_fine_grained_crystalline,igneous_rock,1,Trachytic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 7*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0220,,
22,Ultramafic_Rock Ultrabasic Ultramafic_Rock Ultramafic_Rocks Ultramafic_Rocks_Undivided Ultrabasic_Igneous_Rock Ultramafic_Igneous_Rock Alkremite ,ultramafic_rock,ultramafic,igneous_rock,1.01,Igneous rock with less than 45 percent SiO2.,after LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0262,,
23,Ash_And_Lapilli Ash_And_Lapilli ,ash_and_lapilli,volcaniclastic,igneous_rock,1,Tephra in which less than 25 percent of fragments are greater than 64 mm in longest dimension,Schmid 1981; LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0020,,
24,Hybrid_Sediment Hybrid_Sediment ,hybrid_sediment,sediment,sediment,1,Sediment that does not fit any of the other sediment composition/genesis categories. Sediment consisting of three or more components which form more than 5 percent but less than 50 precent  of the material.,"Hallsworth and Knox, 1999",http://resource.geosciml.org/classifier/cgi/lithology/0135,,
25,Bituminous_coal Bright_coal Banded_bright_coal Banded_coal Banded_dull_coal Dull_coal Vitrain Clarain Fusain Durain Bituminous_Coal Medium_Rank_Coal ,bituminous_coal,organic_rich,sedimentary_rock,1,"Coal that has vitrinite mean random reflectance greater than 0.6% and less than 2.0% (determined in conformance with ISO 7404-5), or has a gross calorific value greater than 24 MJ/kg (determined in conformance with ISO 1928). Hard, black, organic rich sedimentary rock; contains less than 91 percent fixed carbon on a dry, mineral-matter-free basis, and greater  than 13-14 percent volatiles (dry, ash free). Formed from the compaction or induration of variously altered plant remains similar to those of peaty deposits.","Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp; see also http://en.wikipedia.org/wiki/Coal#Types_of_coal;  Eberhard Lindner; Chemie für Ingenieure; Lindner Verlag Karlsruhe, S. 258",http://resource.geosciml.org/classifier/cgi/lithology/0031,,
26,Quartz_diorite Quartz_Diorite ,quartz_diorite,intermediate_coarse_grained_crystalline,igneous_rock,1,Dioritic rock that contains between 5 to 20 percent quartz in the QAPF fraction. QAPF field 10*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0212,,
27,Quartz_syenite Quartz_Syenite ,quartz_syenite,intermediate_coarse_grained_crystalline,igneous_rock,1,Syenitic rock that contains between 5 and 20 percent quartz in the QAPF fraction. Defined modally in QAPF Field 7*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0219,,
28,Quartz_latite Quartz_Latite Quartz_Latite ,quartz_latite,intermediate_fine_grained_crystalline,igneous_rock,1,Latitic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 8*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0214,,
29,Quartz_gabbro Quartz_Gabbro ,quartz_gabbro,mafic_coarse_grained_crystalline,igneous_rock,1,Gabbroic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 10*.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0213,,
30,Granodiorite Granodiorite ,granodiorite,felsic_coarse_grained_crystalline,igneous_rock,1,"Phaneritic crystalline rock consisting essentially of quartz, sodic plagioclase and lesser amounts of alkali feldspar with minor hornblende and biotite. Includes rocks defined modally in QAPF field 4.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0127,,
31,Monzogranite Monzogranite ,monzogranite,felsic_coarse_grained_crystalline,igneous_rock,1,Granite that has a plagiolcase to total feldspar ratio between 0.35 and 0.65. QAPF field 3b.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0167,,
32,Syenogranite Syenogranite ,syenogranite,felsic_coarse_grained_crystalline,igneous_rock,1,Granite that has a plagiolcase to total feldspar ratio between 0.10 and 0.35. QAPF field 3a.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0248,,
33,Monzodiorite Monzodiorite ,monzodiorite,intermediate_coarse_grained_crystalline,igneous_rock,1.01,"Phaneritic crystalline igneous rock consisting of sodic plagioclase (An0 to An50), alkali feldspar, hornblende and biotite, with or without pyroxene, and  0 to 5 percent quartz. Includes rocks defined modally in QAPF field 9.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0163,,
34,Tuff_breccia Tuff_Breccia_Agglomerate_Or_Pyroclastic_Breccia ,tuff_breccia,volcaniclastic,igneous_rock,1,"Pyroclastic rock in which greater than 25 percent of particles are greater than 64 mm in largest dimension. Includes agglomerate, pyroclastic breccia of Gillespie and Styles (1999)",Schmid 1981; LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0260,,
35,Serpentinite Serpentinite Serpentenite,serpentinite,metamorphic,metamorphic_rock,1.01,"Rock consisting of more than 75 percent serpentine-group minerals, eg. antigorite, chrysotile or lizardite; accessory chlorite, talc and magnetite may be present; derived from hydration of ferromagnesian silicate minerals such as olivine and pyroxene.",Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0235,,
36,Silicate_Mud Silicate_Mud ,silicate_mud,siliciclastic,sedimentary_rock,1,Mud size sediment that consists of less than 50 percent carbonate minerals.,This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0237,,
37,Carbonatite Calcite_carbonatite Svite Alvikite Magnesiocarbonatite Dolomite_carbonatite Ferrocarbonatite Natrocarbonatite Silicocarbonatite Calciocarbonatite Ferroan_Carbonatite Carbonatite ,carbonatite,exotic_crystalline,igneous_rock,1,Igneous rock composed of more than 50 percent modal carbonate minerals.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0049,,
38,Phonolitoid Phonolitoid Phonolitic_Rock ,phonolitoid,feldspathic_fine_grained_crystalline,igneous_rock,1,"Fine grained igneous rock than contains less than 90 percent mafic minerals, between 10 and 60 percent feldspathoid mineral in the QAPF fraction and has a plagioclase to total feldspar ratio less than 0.5. Includes rocks defined modally in QAPF fields 11 and 12, and TAS field Ph.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0194,,
39,Anorthosite Anorthositic_Rock Anorthosite Anorthositic_Rock  Anorthite_Rock,anorthosite,mafic_coarse_grained_crystalline,igneous_rock,1,Anorthositic rock that contains between 0 and 5 percent quartz and no feldspathoid mineral in the QAPF fraction. QAPF field 10.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0012,,
40,Monzogabbro Monzogabbro ,monzogabbro,mafic_coarse_grained_crystalline,igneous_rock,1,Monzogabbroic rock that contains between 0 an 5 percent quartz and no feldspathoid mineral in the QAPF fraction.  Includes rocks defined modally in QAPF field 9 .,"LeMaitre et al. 2002, This vocabulary",http://resource.geosciml.org/classifier/cgi/lithology/0165,,
41,Ash_breccia Ash_Breccia_Bomb_Or_Block_Tephra ,ash_breccia,volcaniclastic,igneous_rock,1,"Tephra in which more than 25 percent of particles are greater than 64 mm in largest dimension. Includes ash breccia, bomb tephra and block tephra of Gillespie and Styles (1999)",Schmid 1981; LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0021,,
42,Lapilli_ash Ash_Tuff_Lapillistone_And_Lapilli_Tuff ,lapilli_ash,volcaniclastic,igneous_rock,1,"Pyroclastic rock in which less than 25 percent of rock by volume are more than 64 mm in longest diameter. Includes tuff, lapilli tuff, and lapillistone.",Schmid 1981; LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0022,,
43,Orthogneiss Orthogneiss ,orthogneiss,gneiss,metamorphic_rock,1,"A gneiss with mineralogy and texture indicating derivation from a phaneritic igneous rock protolith.  Typically consists of abundant feldspar, with quartz, and variable hornblende, biotite, and muscovite, with a relatively homogeneous character.",This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0182,,
44,Amphibolite Amphibolite Amphibolite_metamorphic_facies Epidote_amphibolite_metamorphic_facies,amphibolite,high_grade_metamorphic_rock,metamorphic_rock,1.01,"Metamorphic rock mainly consisting of green, brown or black amphibole and plagioclase (including albite), which combined form 75 percent or more of the rock, and both of which are present as major constituents. The amphibole constitutes 50 percent or more of the total mafic constituents and is present in an amount of 30 percent or more; other common minerals include quartz, clinopyroxene, garnet, epidote-group minerals, biotite, titanite and scapolite.","Coutinho et al. 2007, IUGS SCMR chapter 8 (http://www.bgs.ac.uk/SCMR/)",http://resource.geosciml.org/classifier/cgi/lithology/0010,,
45,Whiteschist Foliated_Metamorphic_Rock Tectonite Whiteschist ,whiteschist,high_grade_metamorphic_rock,metamorphic_rock,1,Metamorphic rock in which 10 percent or more of the contained mineral grains are elements in a planar or linear fabric. Cataclastic or glassy character precludes classification with this concept.,based on NADM SLTT metamorphic,http://resource.geosciml.org/classifier/cgi/lithology/0110,,
46,Tephritoid Tephritic_Rock Tephritoid Tephritic_Rock ,tephritoid,feldspathic_fine_grained_crystalline,igneous_rock,1,"Fine grained igneous rock than contains less than 90 percent mafic minerals, between 10 and 60 percent feldspathoid mineral in the QAPF fraction and has a plagioclase to total feldspar ratio greater than 0.5.  Includes rocks classified in QAPF field 13 and 14 or chemically in TAS field U1 as basanite or tephrite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0253,,
47,Trachytoid Trachytoid Benmoreite Basaltic_Trachyandesite Mugearite Trachyandesite Shoshonite Trachyte(Tas) Trachybasalt Trachydacite Hawaiite Potassic_Trachybasalt ,trachytoid,intermediate_fine_grained_crystalline,igneous_rock,1,"Fine grained igneous rock than contains less than 90 percent mafic minerals, less than 10 percent feldspathoid mineral and less than 20 percent quartz in the QAPF fraction and has a plagioclase to total feldspar ratio less than 0.65.   Mafic minerals typically include amphibole or mica; typically porphyritic. Includes rocks defined modally in QAPF fields 6, 7 and 8 (with subdivisions) or chemically in TAS Field T as trachyte or latite.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0258,,
48,Paragneiss Paragneiss ,paragneiss,gneiss,metamorphic_rock,1,"A gneiss with mineralogy and texture indicating derivation from a sedimentary rock protolith. Typically consists of abundant quartz, mica, or calcsilicate minerals; aluminosilicate minerals or garnet commonly present. composition of rock tends to be more variable on a decimetric scale that in orthogneiss.",This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0184,,
49,Framestone Framestone ,framestone,carbonate,sedimentary_rock,1,"Carbonate reef rock consisting of a rigid framework of colonies, shells or skeletons, with internal cavities filled with fine sediment; usually created through the activities of colonial organisms.","Hallsworth and Knox 1999; SLTTs 2004, Table 15-3-1",http://resource.geosciml.org/classifier/cgi/lithology/0113,,
50,Anthracite Anthracite_Coal High_Rank_Coal ,anthracite,organic_rich,sedimentary_rock,1,"Coal that has vitrinite mean random reflectance greater than 2.0% (determined in conformance with ISO 7404-5).  Less than 12-14 percent volatiles (dry, ash free), greater than 91 percent fixed carbon (dry, ash free basis). The highest rank coal; very hard, glossy, black, with semimetallic luster, semi conchoidal fracture.","Economic commission for Europe, committee on Sustainable Energy- United Nations (ECE-UN), 1998, International Classification of in-Seam Coals: Energy 19, 41 pp; see also Neuendorf et al. 2005; http://en.wikipedia.org/wiki/Coal#Types_of_coal;  Eberhard Lindner; Chemie für Ingenieure; Lindner Verlag Karlsruhe, S. 258",http://resource.geosciml.org/classifier/cgi/lithology/0014,,
51,Boundstone Boundstone ,boundstone,siliceous,sedimentary_rock,1,"Sedimentary carbonate rock with preserved biogenic texture, whose original components were bound and encrusted together during deposition by the action of plants and animals during deposition, and remained substantially in the position of growth.",Hallsworth and Knox 1999; SLTTs 2004,http://resource.geosciml.org/classifier/cgi/lithology/0034,,
52,Grainstone Grainstone Carbonate_Grainstone ,grainstone,siliceous,sedimentary_rock,1,"Carbonate sedimentary rock with recognizable depositional fabric that is grain-supported, and constituent particles are of intrabasinal origin; contains little or no mud matrix. Distinction from sandstone is based on interpretation of intrabasinal origin of clasts and grain-supported fabric, but grainstone definition does not include a grain size criteria.",Dunham 1962,http://resource.geosciml.org/classifier/cgi/lithology/0124,,
53,Diamictite Diamictite Pebbly_Mudstone ,diamictite,siliciclastic,sedimentary_rock,1,"Unsorted or poorly sorted, clastic sedimentary rock with a wide range of particle sizes including a muddy matrix.  Biogenic materials that have such texture are excluded. Distinguished from conglomerate, sandstone, mudstone based on polymodality and  lack of structures related to transport and deposition of sediment by moving air or water.  If more than 10 percent of the fine grained matrix is of indeterminant clastic or diagenetic origin and the fabric is matrix supported, may also be categorized as wacke.",Fairbridge and Bourgeois 1978,http://resource.geosciml.org/classifier/cgi/lithology/0069,,
54,Pegmatite Pegmatite ,pegmatite,exotic_crystalline,igneous_rock,1.01,"Exceptionally coarse grained crystalline rock with interlocking crystals; most grains are 1cm or more diameter; composition is generally that of granite, but the term may refer to the coarse grained facies of any type of igneous rock;usually found as irregular dikes, lenses, or veins associated with plutons or batholiths.",Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0187,,
55,Phonolite Nepheline_phonolite Leucite_phonolite Hau?yne_phonolite Analcime_phonolite Nosean_phonolite Phonolilte Peralkaline_Phonolite ,phonolite,feldspathic_fine_grained_crystalline,igneous_rock,1,"Phonolitoid in which the plagioclase to total feldspar ratio is less than 0.1. Rock consists of alkali feldspar, feldspathoid minerals, and mafic minerals.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0190,,
56,Monzonite Mangerite Monzonite ,monzonite,intermediate_coarse_grained_crystalline,igneous_rock,1.01,Monzonitic rock that contains 0-5 percent quartz and no feldspathoid mineral in the QAPF fraction. Includes rocks defined modally in QAPF Field 8.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0168,,
57,Syenitoid Quartz_alkali_feldspar_syenite Alkali_feldspar_syenite Syenitic_Rock Syenitoid ,syenitoid,intermediate_coarse_grained_crystalline,igneous_rock,1.01,"Phaneritic crystalline igneous rock with M less than 90, consisting mainly of alkali feldspar and plagioclase; minor quartz or nepheline may be present, along with pyroxene, amphibole or biotite. Ratio of plagioclase to total feldspar is less than 0.65, quartz forms less than 20 percent of QAPF fraction, and feldspathoid minerals form less than 10 percent of QAPF fraction.  Includes rocks classified in QAPF fields 6, 7 and 8 and their subdivisions.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0247,,
58,Granofels Granofels ,granofels,granofels,metamorphic_rock,1,Metamorphic rock with granoblastic fabric and very little or no foliation (less than 10 percent of the mineral grains in the rock are elements in a planar or linear fabric). Grainsize not specified.,SLTTm 2004,http://resource.geosciml.org/classifier/cgi/lithology/0128,,
59,Migmatite Metatexite Arterite Venite Phlebite Diatexite Nebulite Agmatite Dictyonite Stromatite Migmatite Agmatite Dictyonite Diatectite Stromatite Venite Metatexite Ditexite Nebulite Phlebite ,migmatite,high_grade_metamorphic_rock,metamorphic_rock,1,Silicate metamorphic rock that is pervasively heterogeneous on a decimeter to meter scale that typically consists of darker and lighter parts; the darker parts usually exhibit features of metamorphic rocks whereas the lighter parts are of igneous-looking appearance.,Fette and Desmons (2007) (http://www.bgs.ac.uk/SCMR/),http://resource.geosciml.org/classifier/cgi/lithology/0162,,
60,Quartzite Quartzite Itacolumite ,quartzite,low_grade_metamorphic_rock,metamorphic_rock,1,Metamorphic rock consisting of greater than or equal to 75 percent quartz; typically granoblastic texture.,after Neuendorf et al. 2005,http://resource.geosciml.org/classifier/cgi/lithology/0221,,
61,Evaporite Evaporite Exotic_Evaporite ,evaporite,evaporite,sedimentary_rock,1.01,"Nonclastic sedimentary rock composed of at least 50 percent non-carbonate salts, including chloride, sulfate or borate minerals; formed through precipitation of mineral salts from a saline solution (non-carbonate salt rock).",Jackson 1997; SLTTs 2004,http://resource.geosciml.org/classifier/cgi/lithology/0081,,
62,Tephrite Leucite_tephrite Analcime_tephrite Nepheline_tephrite Tephrite ,tephrite,feldspathic_fine_grained_crystalline,igneous_rock,1,"Tephritoid that has a plagioclase to total feldspar ratio greater than 0.9, and contains less than 10 percent normative (CIPW) olivine.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0250,,
63,Basanite Nepheline_basanite Analcime_basanite Nosean_basanite Leucite_basanite Basanite ,basanite,feldspathic_fine_grained_crystalline,igneous_rock,1,"Tephritoid that has a plagioclase to total feldspar ratio greater than 0.9, and contains more than 10 percent normative (CIPW) olivine.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0024,,
64,Tonalite Tonalite Plagiogranite Trondhjemite ,tonalite,felsic_coarse_grained_crystalline,igneous_rock,1.01,"Granitoid consisting of quartz and intermediate plagioclase, usually with biotite and amphibole. Includes rocks defined modally in QAPF field 5; ratio of plagioclase to total feldspar is greater than 0.9.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0255,,
65,Rhyolite Pantelleritic_rhyolite Rhyolite Liparite Rhyodacite ,rhyolite,felsic_fine_grained_crystalline,igneous_rock,1,rhyolitoid in which the ratio of plagioclase to total feldspar is between 0.1 and 0.65.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0223,,
66,Aphanite Aphanite ,aphanite,fine_grained_crystalline,igneous_rock,1,Rock that is too fine grained to categorize in more detail.,This vocabulary,http://resource.geosciml.org/classifier/cgi/lithology/0017,,
67,Porphyry Porphyry ,porphyry,intermediate,igneous_rock,1,Igneous rock that contains conspicuous phenocrysts in a finer grained groundmass; groundmass itself may be phaneritic or fine-grained.,LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0200,,
68,Trachyte Trachyte ,trachyte,intermediate_fine_grained_crystalline,igneous_rock,1,"Trachytoid that has a plagioclase to total feldspar ratio between 0.1 and 0.35,  between 0 and 5 percent quartz in the QAPF fraction, and no feldspathoid minerals. QAPF field 7.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0256,,
69,Gabbroid Gabbroic_Rock Gabbroid Gabbroic_Rock Norite Gabbro_(Sensu_Stricto) Gabbronorite Troctolite ,gabbroid,mafic_coarse_grained_crystalline,igneous_rock,1,"Phaneritic crystalline igneous rock that contains less than 90 percent mafic minerals, and up to 20 percent quartz or up to 10 percent feldspathoid in the QAPF fraction. The ratio of plagioclase to total feldspar is greater than 0.65, and anorthite content of the plagioclase is greater than 50 percent. Includes rocks defined modally in QAPF fields 9 and 10 and their subdivisions.",LeMaitre et al. 2002,http://resource.geosciml.org/classifier/cgi/lithology/0116,,
70,Dolerite Diabase Mafic_Intrusive Doleritic_Rock Microdiorite Diabase Microgabbro Trap Dolerite ,dolerite,mafic_coarse_grained_crystalline,igneous_rock,1.01,"Dark colored gabbroic (basaltic) or dioritic (andesitic) rock intermediate in grain size between basalt and gabbro and composed of plagioclase, pyroxene and opaque minerals; often with ophitic texture. Typically occurs as hypabyssal intrusions. Includes dolerite, microdiorite, diabase and microgabbro.",Neuendorf et al 2005; LeMaitre et al. 2002; Gillespie and Styles 1999,http://resource.geosciml.org/classifier/cgi/lithology/0074,,
71,Hornfels Hornfels Skarn ,hornfels,granofels,metamorphic_rock,1.01,"Granofels formed by contact metamorphism, composed of a mosaic of equidimensional grains in a characteristically granoblastic or decussate matrix; porphyroblasts or relict phenocrysts may be present. Typically fine grained.",IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/),http://resource.geosciml.org/classifier/cgi/lithology/0134,,
72,Eclogite Eclogite Eclogite_metamorphic_facies,eclogite,high_grade_metamorphic_rock,metamorphic_rock,1,"Metamorphic rock composed of 75 percent or more (by volume) omphacite and garnet, both of which are present as major constituents, the amount of neither of them being higher than 75 percent (by volume); the presence of plagioclase precludes classification as an eclogite.",IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/),http://resource.geosciml.org/classifier/cgi/lithology/0080,,
