id,fuzzywuzzy_terms,detailed_lithology,lithology_subgroup,lithology_group,bonus,definition,sourcenote,exactmatch1,note,historynote
489,Chloritolite ,chloritolite,metasomatic,metamorphic_rock,1,,,,,
490,Chromium_ore ,chromium_ore,ore,mineralisation,1,,,,,
491,Microsparite ,microsparite,carbonate,sedimentary_rock,1,,,,,
492,Conglomerate Silicate_conglomerate Paraconglomerate Orthoconglomerate Sedimentary_breccia Breccio_conglomerate Rudite Metaconglomerate ,conglomerate,clastic,sedimentary_rock,1.01,,,,,
493,Olistostrome ,olistostrome,clastic,sedimentary_rock,1,,,,,
494,Barite_stone ,barite_stone,evaporite,sedimentary_rock,1,,,,,
495,Anhydrite_stone Anhydrite_grainstone Anhydrite_packstone Anhydrite_wackestone Anhydrite_mudstone ,anhydrite_stone,evaporite,sedimentary_rock,1,,,,,
496,Halite_Stone Halite_stone Halite_grainstone Halite_packstone Halite_wackestone Halite_mudstone Salt Lacustrine_Salt ,halite_stone,evaporite,sedimentary_rock,1,,,,,
497,Porcellanite Opaline_porcellanite Quartzose_porcellanite ,porcellanite,siliceous,sedimentary_rock,1,,,,,
498,Lithic_Wacke ,lithic_wacke,siliciclastic,sedimentary_rock,1,,,,,
499,Quartz_Wacke ,quartz_wacke,siliciclastic,sedimentary_rock,1,,,,,
500,Foundry_Sand ,foundry_sand,artificial_man_made_ground,surficial_rock,1,,,,,
501,Garden_Waste ,garden_waste,artificial_man_made_ground,surficial_rock,1,,,,,
502,Plasterboard ,plasterboard,artificial_man_made_ground,surficial_rock,1,,,,,
503,Quarry_Waste ,quarry_waste,artificial_man_made_ground,surficial_rock,1,,,,,
504,Sand_Patches ,sand_patches,natural_superficial_ground,surficial_rock,1,,,,,
505,Sand_Ribbons ,sand_ribbons,natural_superficial_ground,surficial_rock,1,,,,,
506,Arenose_Zone ,arenose_zone,residual_deposit,surficial_rock,1,,,,,
507,Blanket_Head ,blanket_head,residual_deposit,surficial_rock,1,,,,,
508,Mottled_Zone ,mottled_zone,residual_deposit,surficial_rock,1.01,,,,,
509,Plasmic_Zone ,plasmic_zone,residual_deposit,surficial_rock,1,,,,,
510,Apatitolite ,apatitolite,exotic_crystalline,igneous_rock,1,,,,,
511,Dissogenite ,dissogenite,exotic_crystalline,igneous_rock,1,,,,,
512,Eudialytite ,eudialytite,exotic_crystalline,igneous_rock,1,,,,,
513,Lamprophyre Camptonite Analcime_camptonite Kersantite Minette Monchiquite Sannaite Spessartite Vogesite ,lamprophyre,exotic_crystalline,igneous_rock,1,,,,,
514,Magnetitite ,magnetitite,exotic_crystalline,igneous_rock,1,,,,,
515,Nephelinite ,nephelinite,feldspathic_fine_grained_crystalline,igneous_rock,1,,,,,
