Level_3,Level_2,Level_1
cannel-mudstone,organic-rich,sedimentary rock
sapropelic coal,organic-rich,sedimentary rock
sapropelic-coal,organic-rich,sedimentary rock
silicate-gravel,siliciclastic,sedimentary rock
aeolian_deposit,aeolian_deposit,surficial
fluvial_deposit,alluvial_deposit,surficial
building_rubble,artificial_man-made_ground,surficial
cardboard_waste,artificial_man-made_ground,surficial
ferrite_ceramic,artificial_man-made_ground,surficial
infilled_ground,artificial_man-made_ground,surficial
oil_shale_waste,artificial_man-made_ground,surficial
bioclastic sand,biological_deposit,surficial
chenier_deposit,coastal_deposit,surficial
channel_deposit,natural_superficial_ground,surficial
deltaic_deposit,natural_superficial_ground,surficial
sand_wave_field,natural_superficial_ground,surficial
organic_deposit,organic_deposit,surficial
raised_bog_peat,organic_deposit,surficial
quartz-diorite,intermediate_coarse-grained crystalline,igneous
quartz-syenite,intermediate_coarse-grained crystalline,igneous
trachyandesite,intermediate_fine-grained crystalline,igneous
trachytic-rock,intermediate_fine-grained crystalline,igneous
olivine-gabbro,mafic_coarse-grained crystalline,igneous
basaltic_glass,mafic_glassy,igneous
lapilli-tephra,volcaniclastic,igneous
contact-marble,contact metamorphic,metamorphic rock
mafic-hornfels,granofels,metamorphic rock
orthogranofels,granofels,metamorphic rock
amphibole-rock,metamorphic,metamorphic rock
mineralisation,ore,mineralisation
siliceous-ooze,sediment_ooze,sediment
phosphate-sand,sediment_phosphate,sediment
kaolinite-clay,sediment_silicate,sediment
lime-packstone,carbonate,sedimentary rock
lime-sparstone,carbonate,sedimentary rock
microsparstone,carbonate,sedimentary rock
ooid-limestone,carbonate,sedimentary rock
iron-packstone,ironstone,sedimentary rock
ooid-ironstone,ironstone,sedimentary rock
lithic-arenite,siliciclastic,sedimentary rock
quartz-arenite,siliciclastic,sedimentary rock
siliceous-rock,siliciclastic,sedimentary rock
chemical_waste,artificial_man-made_ground,surficial
colliery_waste,artificial_man-made_ground,surficial
effluent_waste,artificial_man-made_ground,surficial
landraise_site,artificial_man-made_ground,surficial
creek_deposits,coastal_deposit,surficial
merse_deposits,coastal_deposit,surficial
galcitectonite,glacigenic_deposit,surficial
glacitectonite,glacigenic_deposit,surficial
marine_deposit,marine_deposit,surficial
coombe_deposit,natural_superficial_ground,surficial
embryonic_dune,natural_superficial_ground,surficial
moundy_terrain,natural_superficial_ground,surficial
surficial_peat,organic_deposit,surficial
beach_deposits,proglacial deposits,surficial
weathered_rock,residual_deposit,surficial
dilation_bands,breaks,texture_structure
granitic-rock,felsic,igneous
picritic-rock,felsic_fine-grained crystalline,igneous
quartz-latite,intermediate_fine-grained crystalline,igneous
leucitic-rock,leucitic,igneous
anorthositoid,mafic_coarse-grained crystalline,igneous
quartz-gabbro,mafic_coarse-grained crystalline,igneous
hyaloclastite,mafic_glassy,igneous
amphibololite,ultramafic_coarse-grained crystalline,igneous
paraquartzite,contact metamorphic,metamorphic rock
paragranofels,granofels,metamorphic rock
glaucophanite,high-grade metamorphic rock,metamorphic rock
ophicarbonate,metacarbonate,metamorphic rock
pyroxene-rock,metamorphic,metamorphic rock
aluminium_ore,ore,mineralisation
lime-sediment,sediment_carbonate,sediment
gypsum-gravel,sediment_evaporite,sediment
iron-sediment,sediment_iron,sediment
phosphate-mud,sediment_phosphate,sediment
smectite-clay,sediment_silicate,sediment
lime-mudstone,carbonate,sedimentary rock
ooid-dolomite,carbonate,sedimentary rock
thermonatrite,carbonate,sedimentary rock
kainite-stone,evaporite,sedimentary rock
kernite-stone,evaporite,sedimentary rock
sylvite-stone,evaporite,sedimentary rock
ulexite-stone,evaporite,sedimentary rock
iron-mudstone,ironstone,sedimentary rock
opaline-chert,non-clastic siliceous,sedimentary rock
silicate-clay,siliciclastic,sedimentary rock
silicate-sand,siliciclastic,sedimentary rock
silicate-silt,siliciclastic,sedimentary rock
alluvial_cone,alluvial_deposit,surficial
landfill_site,artificial_man-made_ground,surficial
mineral_waste,artificial_man-made_ground,surficial
organic_waste,artificial_man-made_ground,surficial
sewage_sludge,artificial_man-made_ground,surficial
worked_ground,artificial_man-made_ground,surficial
washover_fans,coastal_deposit,surficial
mass_movement,natural_superficial_ground,surficial
fault-breccia,fault_rock,texture_structure
melilitolite,exotic_crystalline,igneous
dacitic-rock,felsic,igneous
granodiorite,felsic_coarse-grained crystalline,igneous
monzogranite,felsic_coarse-grained crystalline,igneous
syenogranite,felsic_coarse-grained crystalline,igneous
trondhjemite,felsic_coarse-grained crystalline,igneous
igneous_rock,igneous rock,igneous
intermediate,intermediate,igneous
monzodiorite,intermediate_coarse-grained crystalline,igneous
