Level_3,Level_2,Level_1
sandur,proglacial deposits,surficial
gossan,residual_deposit,surficial
cracks,breaks,texture_structure
crusts,fillings,texture_structure
layers,fillings,texture_structure
mafic,mafic,igneous
slate,low-grade metamorphic rock,metamorphic rock
skarn,metasomatic,metamorphic rock
chalk,carbonate,sedimentary rock
trona,carbonate,sedimentary rock
agate,non-clastic siliceous,sedimentary rock
flint,non-clastic siliceous,sedimentary rock
guano,phosphate,sedimentary rock
chert,siliceous,sedimentary rock
wacke,siliciclastic,sedimentary rock
loess,aeolian_deposit,surficial
glass,artificial_man-made_ground,surficial
metal,artificial_man-made_ground,surficial
paper,artificial_man-made_ground,surficial
spoil,artificial_man-made_ground,surficial
waste,artificial_man-made_ground,surficial
esker,glacigenic_deposit,surficial
cover,natural_superficial_ground,surficial
creep,natural_superficial_ground,surficial
earth,natural_superficial_ground,surficial
plain,natural_superficial_ground,surficial
ridge,natural_superficial_ground,surficial
sheet,natural_superficial_ground,surficial
shell,natural_superficial_ground,surficial
slide,natural_superficial_ground,surficial
talus,natural_superficial_ground,surficial
swamp,organic_deposit,surficial
fault,breaks,texture_structure
spots,fillings,texture_structure
tuff,volcaniclastic,igneous
sand,sediment_clastic,sediment
peat,sediment_organic,sediment
tufa,carbonate,sedimentary rock
reef,carbonate,sedimentary rock
coal,organic-rich,sedimentary rock
dune,aeolian_deposit,surficial
bing,artificial_man-made_ground,surficial
fill,artificial_man-made_ground,surficial
slag,artificial_man-made_ground,surficial
void,artificial_man-made_ground,surficial
kame,glacigenic_deposit,surficial
till,glacigenic_deposit,surficial
cone,natural_superficial_ground,surficial
fall,natural_superficial_ground,surficial
flow,natural_superficial_ground,surficial
head,natural_superficial_ground,surficial
marl,natural_superficial_ground,surficial
mire,natural_superficial_ground,surficial
rock,natural_superficial_ground,surficial
soil,residual_deposit,surficial
vein,fillings,texture_structure
ash,volcaniclastic,igneous
ore,ore,mineralisation
mud,sediment_clastic,sediment
tip,artificial_man-made_ground,surficial
fan,natural_superficial_ground,surficial
bog,organic_deposit,surficial
lag,residual_deposit,surficial
foid-bearing-alkali-feldspar-trachyte,intermediate_fine-grained crystalline,igneous
foid-bearing-alkali-feldspar-syenite,intermediate_coarse-grained crystalline,igneous
foid-bearing-monzodiorite,intermediate_coarse-grained crystalline,igneous
foid-bearing-anorthosite,mafic_coarse-grained crystalline,igneous
foid-bearing-monzogabbro,mafic_coarse-grained crystalline,igneous
foid-bearing-monzonite,intermediate_coarse-grained crystalline,igneous
foid-bearing-trachyte,intermediate_fine-grained crystalline,igneous
foid-bearing-diorite,intermediate_coarse-grained crystalline,igneous
foid-bearing-syenite,intermediate_coarse-grained crystalline,igneous
foid-bearing-latite,intermediate_fine-grained crystalline,igneous
foid-bearing-gabbro,mafic_coarse-grained crystalline,igneous
phonolitic-foidite,feldspathic_fine-grained crystalline,igneous
foid-monzodiorite,feldspathic_coarse-grained crystalline,igneous
foid-monzosyenite,feldspathic_coarse-grained crystalline,igneous
tephritic-foidite,feldspathic_fine-grained crystalline,igneous
basanitic-foidite,feldspathic_fine-grained crystalline,igneous
foid-monzogabbro,feldspathic_coarse-grained crystalline,igneous
foid-dioritoid,feldspathic_coarse-grained crystalline,igneous
foid-syenitoid,feldspathic_coarse-grained crystalline,igneous
foid-gabbroid,feldspathic_coarse-grained crystalline,igneous
foid-diorite,feldspathic_coarse-grained crystalline,igneous
foid-syenite,feldspathic_coarse-grained crystalline,igneous
foid-gabbro,feldspathic_coarse-grained crystalline,igneous
foidolite,feldspathic_coarse-grained crystalline,igneous
foiditoid,feldspathic_fine-grained crystalline,igneous
foidite,feldspathic_fine-grained crystalline,igneous
