"id","holeid","anumber","companyholeid","dataset","companyid","longitude","latitude","istransformed","modifieddate","modifiedby","mrtfileid","holetype","maxdepth","geom"
1233107,"82655KararaKAR1010",82655,"KAR1010","Karara",1621,"116.78","-29.1763",True,NULL,NULL,37125,"RC","240","0101000020E6100000000000C0EE315D40000000C0222D3DC0"
1233108,"82655KararaKAR1011",82655,"KAR1011","Karara",1621,"116.785","-29.1731",True,NULL,NULL,37125,"RC","150","0101000020E61000000000002042325D40000000604E2C3DC0"
1233109,"82655KararaMKC309",82655,"MKC309","Karara",1621,"116.822","-29.1489",True,NULL,NULL,37125,"RC","180","0101000020E6100000000000E096345D400000008021263DC0"
1233110,"82655KararaMKC430",82655,"MKC430","Karara",1621,"116.823","-29.1473",True,NULL,NULL,37125,"RC","150","0101000020E6100000000000C0A7345D4000000080B5253DC0"
1233113,"82655KararaMKC433",82655,"MKC433","Karara",1621,"116.819","-29.1515",True,NULL,NULL,37125,"RC","221","0101000020E61000000000000067345D4000000040C8263DC0"
1233114,"82655KararaMKC434",82655,"MKC434","Karara",1621,"116.82","-29.1502",True,NULL,NULL,37125,"RC","197","0101000020E6100000000000A07D345D400000006070263DC0"
1233115,"82655KararaMKC435",82655,"MKC435","Karara",1621,"116.82","-29.1502",True,NULL,NULL,37125,"RC","162","0101000020E6100000000000E07D345D400000002072263DC0"
1233116,"82655KararaMKC436",82655,"MKC436","Karara",1621,"116.818","-29.1517",True,NULL,NULL,37125,"RC","144","0101000020E61000000000008054345D40000000A0D8263DC0"
1233117,"82655KararaMKC439",82655,"MKC439","Karara",1621,"116.823","-29.1477",True,NULL,NULL,37125,"RC","120","0101000020E6100000000000E0AF345D4000000020D2253DC0"
1233118,"82655KararaMKC440",82655,"MKC440","Karara",1621,"116.819","-29.1521",True,NULL,NULL,37125,"RC","120","0101000020E61000000000000066345D4000000060ED263DC0"
1233121,"82655KararaMKC445",82655,"MKC445","Karara",1621,"116.821","-29.149",True,NULL,NULL,37125,"RC","120","0101000020E6100000000000408D345D400000006025263DC0"
1233125,"82655KararaMKC451",82655,"MKC451","Karara",1621,"116.82","-29.1496",True,NULL,NULL,37125,"RC","107","0101000020E6100000000000807E345D40000000C04A263DC0"
1233126,"82655KararaMKC452",82655,"MKC452","Karara",1621,"116.82","-29.1497",True,NULL,NULL,37125,"RC","190","0101000020E6100000000000607F345D40000000E04F263DC0"
1233127,"82655KararaMKC454",82655,"MKC454","Karara",1621,"116.82","-29.1498",True,NULL,NULL,37125,"RC","126","0101000020E61000000000006082345D400000004058263DC0"
1233130,"82655KararaMKC457",82655,"MKC457","Karara",1621,"116.822","-29.1488",True,NULL,NULL,37125,"RC","162","0101000020E610000000000020A0345D400000000017263DC0"
1233133,"82655KararaMKC460",82655,"MKC460","Karara",1621,"116.823","-29.1485",True,NULL,NULL,37125,"RC","168","0101000020E610000000000040A6345D400000002003263DC0"
