"id","dhgeologyid","attributecolumn","attributevalue","modifieddate","modifiedby","mrtdetailid","id-2","collarid","fromdepth","todepth","units","accuracy","modifieddate-2","modifiedby-2","mrtfileid"
"138581550",18817924,"Lith2","Ssh",NULL,NULL,867314,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581549",18817924,"Lith1","Sif",NULL,NULL,867313,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"138581548",18817924,"Weath_I","F",NULL,NULL,867311,18817924,1233106,"100","110",NULL,NULL,NULL,NULL,37131
"86483736",11470909,"Mineralisation2","mnt",NULL,NULL,511776,11470909,792827,"62","64",NULL,NULL,NULL,NULL,22458
"86483735",11470909,"Mineralisation1","cly",NULL,NULL,511775,11470909,792827,"62","64",NULL,NULL,NULL,NULL,22458
"86483734",11470909,"Lithology1","Ssh",NULL,NULL,511772,11470909,792827,"62","64",NULL,NULL,NULL,NULL,22458
"86483733",11470909,"Weathering Intensity","Lsf",NULL,NULL,511770,11470909,792827,"62","64",NULL,NULL,NULL,NULL,22458
"86483732",11470909,"Colour","orgy",NULL,NULL,511769,11470909,792827,"62","64",NULL,NULL,NULL,NULL,22458
"138600435",18819806,"Text","bdd",NULL,NULL,867341,18819806,1233229,"97.5","112.4",NULL,NULL,NULL,NULL,37131
"138600434",18819806,"Min4","rbk",NULL,NULL,867326,18819806,1233229,"97.5","112.4",NULL,NULL,NULL,NULL,37131
"138600433",18819806,"Min3","aeg",NULL,NULL,867324,18819806,1233229,"97.5","112.4",NULL,NULL,NULL,NULL,37131
"138600432",18819806,"Min2","mnt",NULL,NULL,867322,18819806,1233229,"97.5","112.4",NULL,NULL,NULL,NULL,37131
"138600431",18819806,"Min1","sil",NULL,NULL,867320,18819806,1233229,"97.5","112.4",NULL,NULL,NULL,NULL,37131
"138600430",18819806,"Colour1","gy",NULL,NULL,867319,18819806,1233229,"97.5","112.4",NULL,NULL,NULL,NULL,37131
"138600429",18819806,"Gsize","fg",NULL,NULL,867318,18819806,1233229,"97.5","112.4",NULL,NULL,NULL,NULL,37131
"138600428",18819806,"Lith1","Sif",NULL,NULL,867313,18819806,1233229,"97.5","112.4",NULL,NULL,NULL,NULL,37131
"86488410",11471610,"Mineralisation2","sil",NULL,NULL,511776,11471610,792839,"90","94",NULL,NULL,NULL,NULL,22458
"86488409",11471610,"Mineralisation1","mnt",NULL,NULL,511775,11471610,792839,"90","94",NULL,NULL,NULL,NULL,22458
"86488408",11471610,"Grain","Fg",NULL,NULL,511774,11471610,792839,"90","94",NULL,NULL,NULL,NULL,22458
"86488407",11471610,"Lithology1","Sif",NULL,NULL,511772,11471610,792839,"90","94",NULL,NULL,NULL,NULL,22458
"86488406",11471610,"Colour","gy",NULL,NULL,511769,11471610,792839,"90","94",NULL,NULL,NULL,NULL,22458
"86482017",11470692,"Texture","bnd",NULL,NULL,511779,11470692,792819,"31","32",NULL,NULL,NULL,NULL,22458
"86482016",11470692,"Mineralisation3","cly",NULL,NULL,511777,11470692,792819,"31","32",NULL,NULL,NULL,NULL,22458
"86482015",11470692,"Mineralisation2","goe",NULL,NULL,511776,11470692,792819,"31","32",NULL,NULL,NULL,NULL,22458
"86482014",11470692,"Mineralisation1","mnt",NULL,NULL,511775,11470692,792819,"31","32",NULL,NULL,NULL,NULL,22458
"86482013",11470692,"Grain","fg",NULL,NULL,511774,11470692,792819,"31","32",NULL,NULL,NULL,NULL,22458
"86482012",11470692,"Lithology1","Sif",NULL,NULL,511772,11470692,792819,"31","32",NULL,NULL,NULL,NULL,22458
"86482011",11470692,"Regolith","Lrf",NULL,NULL,511771,11470692,792819,"31","32",NULL,NULL,NULL,NULL,22458
"86482010",11470692,"Colour","lgybr",NULL,NULL,511769,11470692,792819,"31","32",NULL,NULL,NULL,NULL,22458
"237639557",32037865,"Update_Status","1",NULL,NULL,1402382,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639556",32037865,"Load_Number","0",NULL,NULL,1402379,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639555",32037865,"Coded_Geology_ID","31851",NULL,NULL,1402378,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639554",32037865,"Collar_ID","0",NULL,NULL,1402377,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
"237639553",32037865,"HasParam","Y",NULL,NULL,1402374,32037865,1954885,"8","17",NULL,NULL,NULL,NULL,60122
