CollarID,Depth,Azimuth,Dip,Index,X,Y,Z,
548925,200.000000,89.400000,-90.000000,103,514427.583433,6744796.196147,342.416540,
548925,220.000000,89.100000,-90.000000,103,514407.585636,6744795.899452,342.416540,
548925,240.000000,89.200000,-90.000000,103,514387.587586,6744795.620208,342.416540,
548925,260.000000,89.200000,-90.000000,103,514367.590358,6744795.288611,342.416540,
548925,280.000000,88.900000,-90.000000,103,514347.595973,6744794.817417,342.416540,
548925,300.000000,88.400000,-90.000000,103,514327.605324,6744794.206648,342.416540,
548925,320.000000,88.100000,-90.000000,103,514307.615203,6744793.578433,342.416540,
548925,340.000000,88.300000,-90.000000,103,514298.618936,6744793.319287,342.416540,
792942,0.000000,317.800000,-59.590000,122,479288.247532,6772928.168678,404.351000,
792942,0.000000,317.800000,-59.590000,122,479294.627234,6772921.079626,401.758932,
792942,10.000000,318.200000,-90.000000,122,479301.259947,6772913.595878,401.758932,
792942,20.000000,318.700000,-90.000000,122,479307.794070,6772906.026024,401.758932,
792942,30.000000,319.700000,-90.000000,122,479314.208515,6772898.354435,401.758932,
792942,40.000000,320.500000,-90.000000,122,479320.542310,6772890.616048,401.758932,
792942,50.000000,320.900000,-90.000000,122,479326.855838,6772882.861092,401.758932,
792942,60.000000,320.800000,-90.000000,122,479333.149029,6772875.089648,401.758932,
792942,70.000000,321.200000,-90.000000,122,479339.291628,6772867.199131,401.758932,
792942,80.000000,323.000000,-90.000000,122,479345.267852,6772859.181412,401.758932,
792942,90.000000,323.600000,-90.000000,122,479351.053225,6772851.025538,401.758932,
792942,100.000000,325.700000,-90.000000,122,479356.666832,6772842.749840,401.758932,
792942,110.000000,326.000000,-90.000000,122,479362.244280,6772834.449721,401.758932,
792942,120.000000,326.200000,-90.000000,122,479367.792722,6772826.130184,401.758932,
792942,130.000000,326.400000,-90.000000,122,479373.312089,6772817.791330,401.758932,
792942,140.000000,326.600000,-90.000000,122,479378.773084,6772809.414181,401.758932,
792942,150.000000,327.200000,-90.000000,122,479381.474284,6772805.206630,401.758932,
792943,0.000000,317.600000,-59.700000,139,479288.307763,6772894.930274,366.147000,
792943,0.000000,317.600000,-59.700000,139,479294.734251,6772887.879120,363.563878,
792943,10.000000,317.700000,-90.000000,139,479301.438504,6772880.459376,363.563878,
792943,20.000000,318.100000,-90.000000,139,479308.071196,6772872.975651,363.563878,
792943,30.000000,318.800000,-90.000000,139,479314.605349,6772865.405762,363.563878,
792943,40.000000,319.600000,-90.000000,139,479321.059913,6772857.767817,363.563878,
792943,50.000000,320.000000,-90.000000,139,479327.447562,6772850.073857,363.563878,
792943,60.000000,320.600000,-90.000000,139,479333.815068,6772842.363173,363.563878,
792943,70.000000,320.300000,-90.000000,139,479340.128499,6772834.608335,363.563878,
792943,80.000000,321.400000,-90.000000,139,479346.271198,6772826.717691,363.563878,
792948,0.000000,317.100000,-60.310000,149,479384.606872,6773415.840878,364.021000,
792948,0.000000,317.100000,-60.310000,149,479391.113500,6773408.838912,361.487519,
792948,10.000000,317.100000,-90.000000,149,479397.914313,6773401.507546,361.487519,
792948,20.000000,317.200000,-90.000000,149,479404.689486,6773394.152493,361.487519,
792948,30.000000,317.500000,-90.000000,149,479411.458242,6773386.791526,361.487519,
792948,40.000000,317.300000,-90.000000,149,479418.181841,6773379.389421,361.487519,
792948,50.000000,318.200000,-90.000000,149,479424.801462,6773371.894131,361.487519,
