Company_ID,CollarID,FromDepth,ToDepth,Company_LithoCode,Company_Litho,CET_Litho,Score,
3050,1146650,41,42,V,Vein,vein,101,
3050,1146650,41,42,V,Vein,vein,101,
3050,1146650,42,43,V,Vein,vein,101,
3050,1146650,42,43,V,Vein,vein,101,
3050,1146650,42,43,V,Vein,vein,101,
3050,1146650,43,45,V,Vein,vein,101,
3050,1146650,43,45,V,Vein,vein,101,
3050,1146650,43,45,V,Vein,vein,101,
3050,1146650,48,49,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,48,49,X,unknown rock,rock,101,
3050,1146650,48,49,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,48,49,X,unknown rock,rock,101,
3050,1146650,48,49,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,48,49,X,unknown rock,rock,101,
3050,1146650,49,51,Ac,carbonatite,carbonatite,101,
3050,1146650,49,51,Ac,carbonatite,carbonatite,101,
3050,1146650,49,51,Ac,carbonatite,carbonatite,101,
3050,1146650,51,53,Ac,carbonatite,carbonatite,101,
3050,1146650,51,53,Ac,carbonatite,carbonatite,101,
3050,1146650,51,53,Ac,carbonatite,carbonatite,101,
3050,1146650,53,54,Ac,carbonatite,carbonatite,101,
3050,1146650,53,54,Ac,carbonatite,carbonatite,101,
3050,1146650,53,54,Ac,carbonatite,carbonatite,101,
3050,1146650,54,57,V,Vein,vein,101,
3050,1146650,54,57,V,Vein,vein,101,
3050,1146650,54,57,V,Vein,vein,101,
3050,1146650,57,58,Ac,carbonatite,carbonatite,101,
3050,1146650,57,58,Ac,carbonatite,carbonatite,101,
3050,1146650,57,58,Ac,carbonatite,carbonatite,101,
3050,1146650,59,60,V,Vein,vein,101,
3050,1146650,59,60,V,Vein,vein,101,
3050,1146650,59,60,V,Vein,vein,101,
3050,1146650,67,68,Ac,carbonatite,carbonatite,101,
3050,1146650,67,68,Ac,carbonatite,carbonatite,101,
3050,1146650,67,68,Ac,carbonatite,carbonatite,101,
3050,1146650,68,72,Ac,carbonatite,carbonatite,101,
3050,1146650,68,72,Ac,carbonatite,carbonatite,101,
3050,1146650,68,72,Ac,carbonatite,carbonatite,101,
3050,1146650,72,73,Ac,carbonatite,carbonatite,101,
3050,1146650,72,73,Ac,carbonatite,carbonatite,101,
3050,1146650,72,73,Ac,carbonatite,carbonatite,101,
3050,1146650,73,75,Ac,carbonatite,carbonatite,101,
3050,1146650,73,75,Ac,carbonatite,carbonatite,101,
3050,1146650,73,75,Ac,carbonatite,carbonatite,101,
3050,1146650,75,77,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,75,77,X,unknown rock,rock,101,
3050,1146650,75,77,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,75,77,X,unknown rock,rock,101,
3050,1146650,75,77,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,75,77,X,unknown rock,rock,101,
3050,1146650,77,78,Ac,carbonatite,carbonatite,101,
3050,1146650,77,78,Ac,carbonatite,carbonatite,101,
3050,1146650,77,78,Ac,carbonatite,carbonatite,101,
3050,1146650,78,79,Ac,carbonatite,carbonatite,101,
3050,1146650,78,79,Ac,carbonatite,carbonatite,101,
3050,1146650,78,79,Ac,carbonatite,carbonatite,101,
3050,1146650,79,80,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,79,80,X,unknown rock,rock,101,
3050,1146650,79,80,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,79,80,X,unknown rock,rock,101,
3050,1146650,79,80,X,breccia origin unknown,unclassified_rock,101,
3050,1146650,79,80,X,unknown rock,rock,101,
